"Date","Price","Open","High","Low","Change %"
"Nov 09, 1999","72.050","71.800","72.050","71.800","0.49%"
"Nov 08, 1999","71.700","71.450","71.700","71.450","0.14%"
"Nov 05, 1999","71.600","71.350","71.600","71.350","0.14%"
"Nov 04, 1999","71.500","71.250","71.500","71.250","0.14%"
"Nov 03, 1999","71.400","71.150","71.400","71.150","0.00%"
"Nov 02, 1999","71.400","71.150","71.400","71.150","0.00%"
"Nov 01, 1999","71.400","71.150","71.400","71.150","-0.21%"
"Oct 29, 1999","71.550","71.300","71.550","71.300","0.14%"
"Oct 28, 1999","71.450","71.200","71.450","71.200","0.07%"
"Oct 27, 1999","71.400","71.150","71.400","71.150","-0.14%"
"Oct 26, 1999","71.500","71.250","71.500","71.250","0.00%"
"Oct 25, 1999","71.500","71.250","71.500","71.250","0.03%"
"Oct 22, 1999","71.480","71.440","71.480","71.440","-0.10%"
"Oct 21, 1999","71.550","71.350","71.550","71.350","-0.21%"
"Oct 20, 1999","71.700","71.450","71.700","71.450","-0.14%"
"Oct 19, 1999","71.800","71.550","71.800","71.550","0.00%"
"Oct 18, 1999","71.800","71.550","71.800","71.550","0.00%"
"Oct 15, 1999","71.800","71.550","71.800","71.550","0.14%"
"Oct 14, 1999","71.700","71.450","71.700","71.450","0.07%"
"Oct 13, 1999","71.650","71.400","71.650","71.400","0.00%"
"Oct 12, 1999","71.650","71.400","71.650","71.400","0.28%"
"Oct 11, 1999","71.450","71.200","71.450","71.200","0.07%"
"Oct 08, 1999","71.400","71.150","71.400","71.150","-0.07%"
"Oct 07, 1999","71.450","71.200","71.450","71.200","0.42%"
"Oct 06, 1999","71.150","70.900","71.150","70.900","-0.42%"
"Oct 05, 1999","71.450","71.200","71.450","71.200","-0.14%"
"Oct 04, 1999","71.550","71.300","71.550","71.300","-0.21%"
"Oct 01, 1999","71.700","71.450","71.700","71.450","-0.04%"
"Sep 30, 1999","71.730","71.680","71.730","71.680","-0.17%"
"Sep 29, 1999","71.850","71.600","71.850","71.600","0.00%"
"Sep 28, 1999","71.850","71.600","71.850","71.600","0.00%"
"Sep 27, 1999","71.850","71.700","71.850","71.700","0.21%"
"Sep 24, 1999","71.700","71.500","71.700","71.500","-0.42%"
"Sep 23, 1999","72.000","71.750","72.000","71.750","0.52%"
"Sep 22, 1999","71.625","71.400","71.625","71.400","0.00%"
"Sep 21, 1999","71.625","71.400","71.625","71.400","-0.38%"
"Sep 20, 1999","71.900","71.850","71.900","71.850","0.28%"
"Sep 17, 1999","71.700","71.600","71.700","71.600","0.00%"
"Sep 16, 1999","71.700","71.600","71.700","71.600","0.07%"
"Sep 15, 1999","71.650","71.500","71.650","71.500","0.00%"
"Sep 14, 1999","71.650","71.500","71.650","71.500","0.00%"
"Sep 13, 1999","71.650","71.500","71.650","71.500","0.14%"
"Sep 10, 1999","71.550","71.300","71.550","71.300","0.00%"
"Sep 09, 1999","71.550","71.300","71.550","71.300","0.00%"
"Sep 08, 1999","71.550","71.300","71.550","71.300","0.00%"
"Sep 07, 1999","71.550","71.300","71.550","71.300","-0.29%"
"Sep 06, 1999","71.760","71.710","71.760","71.710","0.00%"
"Sep 03, 1999","71.760","71.520","71.760","71.520","0.01%"
"Sep 02, 1999","71.750","71.500","71.750","71.500","0.07%"
"Sep 01, 1999","71.700","71.450","71.700","71.450","-0.14%"
"Aug 31, 1999","71.800","71.550","71.800","71.550","-0.21%"
"Aug 30, 1999","71.950","71.500","71.950","71.500","0.11%"
"Aug 27, 1999","71.870","71.840","71.870","71.840","-0.04%"
"Aug 26, 1999","71.900","71.650","71.900","71.650","0.20%"
"Aug 25, 1999","71.755","71.710","71.755","71.710","-0.06%"
"Aug 24, 1999","71.800","71.550","71.800","71.550","0.00%"
"Aug 23, 1999","71.800","71.550","71.800","71.550","0.07%"
"Aug 20, 1999","71.750","71.500","71.750","71.500","0.17%"
"Aug 19, 1999","71.630","71.600","71.630","71.600","-0.24%"
"Aug 18, 1999","71.800","71.550","71.800","71.550","0.19%"
"Aug 17, 1999","71.665","71.640","71.665","71.640","-0.26%"
"Aug 16, 1999","71.850","71.600","71.850","71.600","0.21%"
"Aug 13, 1999","71.700","71.450","71.700","71.450","0.42%"
"Aug 12, 1999","71.400","71.150","71.400","71.150","0.00%"
"Aug 11, 1999","71.400","71.150","71.400","71.150","0.00%"
"Aug 10, 1999","71.400","71.150","71.400","71.150","0.00%"
"Aug 09, 1999","71.400","71.150","71.400","71.150","0.00%"
"Aug 06, 1999","71.400","71.150","71.400","71.150","0.00%"
"Aug 05, 1999","71.400","71.150","71.400","71.150","-0.07%"
"Aug 04, 1999","71.450","71.200","71.450","71.200","-0.14%"
"Aug 03, 1999","71.550","71.300","71.550","71.300","-0.07%"
"Aug 02, 1999","71.600","71.350","71.600","71.350","0.00%"
"Jul 30, 1999","71.600","71.400","71.600","71.400","-0.21%"
"Jul 29, 1999","71.750","71.500","71.750","71.500","0.00%"
"Jul 28, 1999","71.750","71.500","71.750","71.500","-0.07%"
"Jul 27, 1999","71.800","71.550","71.800","71.550","0.00%"
"Jul 26, 1999","71.800","71.550","71.800","71.550","0.07%"
"Jul 23, 1999","71.750","71.500","71.750","71.500","0.07%"
"Jul 22, 1999","71.700","71.450","71.700","71.450","0.00%"
"Jul 21, 1999","71.700","71.450","71.700","71.450","0.17%"
"Jul 20, 1999","71.575","71.350","71.575","71.350","0.00%"
"Jul 19, 1999","71.575","71.350","71.575","71.350","-0.38%"
"Jul 16, 1999","71.850","71.600","71.850","71.600","0.00%"
"Jul 15, 1999","71.850","71.600","71.850","71.600","0.00%"
"Jul 14, 1999","71.850","71.600","71.850","71.600","0.21%"
"Jul 13, 1999","71.700","71.450","71.700","71.450","0.00%"
"Jul 12, 1999","71.700","71.450","71.700","71.450","0.07%"
"Jul 09, 1999","71.650","71.400","71.650","71.400","0.14%"
"Jul 08, 1999","71.550","71.300","71.550","71.300","0.00%"
"Jul 07, 1999","71.550","71.300","71.550","71.300","-0.14%"
"Jul 06, 1999","71.650","71.400","71.650","71.400","0.22%"
"Jul 05, 1999","71.490","71.460","71.490","71.460","0.20%"
"Jul 02, 1999","71.350","71.200","71.350","71.200","-0.11%"
"Jul 01, 1999","71.425","71.300","71.425","71.300","-0.17%"
"Jun 30, 1999","71.550","71.510","71.550","71.510","-0.01%"
"Jun 29, 1999","71.560","71.530","71.560","71.530","-0.20%"
"Jun 28, 1999","71.700","71.500","71.700","71.500","0.21%"
